Time,Task,n_estimators,max_depth,criterion,Accuracy,F1 Score,Train Size,Features
2026-03-09 22:02:41,plant,50,10,gini,0.7864596120795483,0.7873500072390318,38013,1864
2026-03-09 22:03:09,plant,50,20,gini,0.9014240117849251,0.8996054253073662,38013,1864
2026-03-09 22:03:36,plant,50,30,gini,0.9038792045175547,0.9021488611165907,38013,1864
2026-03-09 22:04:04,plant,50,full,gini,0.9006874539651363,0.8990042926584327,38013,1864
2026-03-09 22:04:42,plant,100,10,gini,0.7961576233734348,0.7978937794940553,38013,1864
2026-03-09 22:05:34,plant,100,20,gini,0.9066412963417628,0.9047264758029182,38013,1864
2026-03-09 22:06:27,plant,100,30,gini,0.9104468450773385,0.9087233856663104,38013,1864
2026-03-09 22:07:20,plant,100,full,gini,0.908482690891235,0.9066911586387953,38013,1864
2026-03-09 22:08:35,plant,200,10,gini,0.8078811686717408,0.809631108870971,38013,1864
2026-03-09 22:10:21,plant,200,20,gini,0.913147557083231,0.9114559284019966,38013,1864
2026-03-09 22:12:05,plant,200,30,gini,0.9138227350847041,0.9121090405121678,38013,1864
2026-03-09 22:13:51,plant,200,full,gini,0.9128406579916524,0.9111262935342709,38013,1864
2026-03-09 22:15:45,plant,300,10,gini,0.8097225632212128,0.8111725593123597,38013,1864
2026-03-09 22:18:21,plant,300,20,gini,0.9154799901792291,0.9137253413669444,38013,1864
2026-03-09 22:20:57,plant,300,30,gini,0.9153572305425975,0.9135613182675686,38013,1864
2026-03-09 22:23:37,plant,300,full,gini,0.9154186103609133,0.9136376414313857,38013,1864
2026-03-09 22:23:38,disease_Apple,50,10,gini,0.944327731092437,0.9441591823612931,2219,1864
2026-03-09 22:23:39,disease_Apple,50,20,gini,0.9401260504201681,0.93969598739139,2219,1864
2026-03-09 22:23:40,disease_Apple,50,30,gini,0.9401260504201681,0.93969598739139,2219,1864
2026-03-09 22:23:40,disease_Apple,50,full,gini,0.9401260504201681,0.93969598739139,2219,1864
2026-03-09 22:23:42,disease_Apple,100,10,gini,0.9495798319327731,0.9494496946123301,2219,1864
2026-03-09 22:23:43,disease_Apple,100,20,gini,0.9495798319327731,0.9492570031331643,2219,1864
2026-03-09 22:23:45,disease_Apple,100,30,gini,0.9495798319327731,0.9492570031331643,2219,1864
2026-03-09 22:23:46,disease_Apple,100,full,gini,0.9495798319327731,0.9492570031331643,2219,1864
2026-03-09 22:23:49,disease_Apple,200,10,gini,0.9611344537815126,0.9610466048747409,2219,1864
2026-03-09 22:23:51,disease_Apple,200,20,gini,0.9569327731092437,0.956803000457503,2219,1864
2026-03-09 22:23:54,disease_Apple,200,30,gini,0.9569327731092437,0.956803000457503,2219,1864
2026-03-09 22:23:57,disease_Apple,200,full,gini,0.9569327731092437,0.956803000457503,2219,1864
2026-03-09 22:24:01,disease_Apple,300,10,gini,0.9621848739495799,0.9620900362786469,2219,1864
2026-03-09 22:24:05,disease_Apple,300,20,gini,0.9600840336134454,0.9599768704043508,2219,1864
